tak,,,Origin,,,,,,,,Rationale,,,,,,,,,Data,,,,,,,,,,,,EEG processing,,,,,,,,Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results and discussion,,,,,,,,,,,,,Reviewed by,,,,
,Title,Year,Authors,Journal / Origin,Preprint first,Type of paper,Lab / School / Company,Country,Pages,,Domain 1,Domain 2,Domain 3,Domain 4,High-level Goal,Practical Goal,Task/Paradigm,Motivation for DL,,EEG Hardware,Neural response pattern,Dataset name,Dataset accessibility,Data,Data - samples,Data - time,Data - subjects,Nb Channels,Sampling rate,Offline / Online,,Preprocessing,Preprocessing (clean),Artefact handling,Artefact handling (clean),Features,Features (clean),Normalization,,Software,Architecture,Architecture (clean),Design peculiarities,EEG-specific design,Network Schema,Input format,Layers,Layers (clean),Activation function,Regularization,Regularization (clean),Nb Classes,Classes,Output format,Nb Parameters,Training procedure,Training procedure (clean),Optimizer,Optimizer (clean),Optim parameters,Minibatch size,Hyperparameter optim,Hyperparameter optim (clean),Data augmentation,Loss,Intra/Inter subject,Cross validation,Cross validation (clean),Data split,Performance metrics,Performance metrics (clean),Training hardware,,Training time,Results,Benchmarks,Baseline model type,Statistical analysis of performance,Analysis of learned parameters,Model inspection (clean),Discussion,Limitations,Code available,Code hosted on,Limited data,,First Reader,Second Reader,Validated by Author(s),,Citation
,Interpretable Deep Neural Networks for Single-Trial EEG Classification,2016,"Sturm, Bach, Samek & Müller",Arxiv,Yes,Preprint,"Berlin Institute of Technology
Fraunhofer Heinrich Hertz Institute
Korea University",China,5,,Improvement of processing tools,Model interpretability,Model visualization,,Novel Approach,Introducing Layer-wise Relevance Propagation (LRP) for DL-EEG (vizualisation),Demonstrated on the BCI-MI Competition III dataset IVa,"DNN are black boxes, but with this approach, we could see what features they are learning.",,N/M,Motor Imagery,BCI Competition III - IVa,Public,"2 Datasets, 1300 trials + 360, 5 + 5 subjects
(3s windows)","1300;
360","65;
18","5;
5",-1,N/M,,,"1) Downsampled to 100Hz
2) Bandpass filter: 9-13Hz",Yes,No,No,"None
(Raw EEG)",Raw EEG,N/M,,N/M,DNN,N/M,"(basic DNN, but the network itself is not relevant, the paper is about LPR)",N/M,No,"301x118
(time points x channels)",2,2,N/M,N/M,N/M,,,"2
(right/left hand)",N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,Both,Leave-One-Subject-Out,Leave-One-Subject-Out,"Train: 4 subjects
Test: 1 subject",Accuracy,accuracy,N/M,,N/M,"Mean Accuracy: 71.6%  (DS #1)
Mean Accuracy: 78.2%  (DS #2)
(not very relevant as the paper is not about the model, but LPR)","CSP-LDA
(didn't do better on average, but did better on low performing subjects)",Traditional pipeline,No,No,No,"For instance, this substantially increased classification accuracy in a subject with particularly low accuracy. This is a first hint that DNN technology may be beneficial for subject-to-subject transfer of learned neural rep- resentations, and, ultimately, may advance subject-independent zero training strategies in BCI [18].",N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Sturm2016
,Ischemic stroke identification based on EEG and EOG using 1D convolutional neural network and batch normalization,2016,"Giri, Fanany, Arymurthy",IEEE International Conference on Advanced Computer Science and Information Systems ,Yes,Conference,"Bogor Agricultural University
Universitas Indonesia",Indonesia,8,,Classification of EEG signals,Clinical,Ischemic stroke,,Improve SOTA,Use DL for Stroke classification,On going EEG recording: Stroke Patients vs Healthy Patients,"Other ML approaches have been tried and show encouraging results, but yet nothing good enough to be used reliably",,(Xltek & Biologic),"Lowering of Frequencies
(due to stroke)",Internal Recordings,Private,62 subjects x 15 min,62,930,62,2,512,,,1) Downsample to 64Hz,Yes,No,No,"24 Handcraft features
(relative power band frequency, variance, correlation aspect, kurtosis, entropy, spectral mean, and exponent of fractal)",Other,N/M,,"Keras, Theano, Python",1D CNN,CNN,Batch norm,1D conv. operation is useful to extract the important local feature in between neighbouring element value of feature vector.,Yes,"62x24
(subjects x Features)","1DCNN: 2
FC: 1",3,N/M,N/M,N/M,,,2,N/M,Early stopping,Standard,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,Inter,Leave-One-Subject-Out,Leave-One-Subject-Out,"Train: 61 subjects
Test: 1 subject","Accuracy, Sensitivity, Specificity, F1-Score, Precision, Recall","accuracy, sensitivity, specificity, f1-score, precision, recall",Quad Core i7 CPU 2.4GHz with 4GB of RAM,,N/M,"Accuracy: 0.861, F1-Score: 0.861
Sensitivity: 0.861, Specificity: 0.865
Precision: 0.870, Recall: 0.861","NB, CT, RF, NN, kNN, Logreg",DL & Trad.,No,No,No,"In this study, we apply early stopping and Batch Normalization techniques to accelerate training process of our classification model. The results of the experiment show that deep learning approach IDCNN has managed to be the best model to distinguishing task between EEG stroke data to the EEG.",N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Giri2016a
,Deep convolutional neural networks for classification of mild cognitive impaired and Alzheimer's disease patients from scalp EEG recordings,2016,"Morabito, Campolo, Ieracitano, Ebadi, Bonanno, Bramanti, De Salvo, Mammone & Bramanti  ",IEEE International Forum on Research and Technologies for Society and Industry Leveraging a better tomorrow,No,Conference,"Mediterranean University of Reggio Calabria
Chabahar Maritime University
Centro Neurolesi Bonino-Pulejo",Italy,6,,Classification of EEG signals,Clinical,Alzheimer's disease,,Extraction of features that can be used for Alzheimer's early diagnosis,Distinguish Alzheimer's disease from mild cognitive impairment and healty patients,Resting state,Latent feature learning + analysis of big amount of data,,N/M,None,Internal Recordings,Private,"23 recordings x 3 (AD/MCI/HC) x 5min
(5s windows)",4140,345,119,19,1024,,,"1) Notch at 50Hz
2) Band-pass 0.1-30Hz",Yes,No,No,Time-frequency representation,Frequency-domain,N/M,,N/M,"CNN
AE
MLP",CNN,N/A,N/M,Yes,228*,"Conv: 2
FC: 1",3,Sigmoid,N/M,N/M,,,3 (softmax),N/M,AE's bottleneck is used as input for the classification stage ,Pre-training,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,Inter,4-Fold,k-fold,"Train: 75%
Test: 25%","Accuracy
Sensitivity
Specificity","accuracy, sensitivity, specificity",N/M,,N/M,"AD-MCI-HC (acc, sens, spec): 82%, 83%, 75%
MCI-HC (acc, sens, spec): 85%, 84%, 81%
AD-HC (acc, sens, spec): 85%, 85%, 82%
MCI-AD (acc, sens, spec): 78%, 78%, 75%",No,None,No,No,No,"As expected, the proposed model achieves better results when trying to disguinsh AD from healthy condition. Worst accuracy is obtained when classifying AD vs MCI ","""An ongoing effort is carried out within our research groups to generate a large database for both MCI and AD patients, also adding a similar number of HC.""",No,N/A,Yes,,Isabela Albuquerque,TBR,TBC,,Morabito2016
,EEG Based Eye State Classification using Deep Belief Network and Stacked AutoEncoder,2016,"Narejo, Pasero & Kulsoom",International Journal of Electrical and Computer Engineering,No,Journal,"Politecnico Di Torino, University of Pavia",Italy,11,,Classification of EEG signals,Monitoring,Cognitive,Eyes closed/open,Improve SOTA,Classify eye movements with a DBN and SAE,"Eye movement (""state"") classification: eyes open vs. eyes closed",It works well on other stuff,,EPOC (Emotiv),None,EEG Eye State,Public,"N/M
(not talking about the data at all, aside from 14 electrodes)",N/M,N/M,1,14,128,,,Noise and outliers removal,Yes,Yes,Yes,Discrete Wavelet Transform,Frequency-domain,N/M,,N/M,"1. DBN
2. SAE",DBN,N/A,N/M,Yes,70,"1) 4
2) 4",4,"1) Sigmoid
2) logsig and linear","1) N/M
2) L2 and ""sparsity regularization""",Yes,,,2,N/M,Layer-wise training,Pre-training,N/M,N/M,1) learning rate: 0.01,1) 2,N/M,N/M,N/M,1) cross-entropy for fine-tuning,N/M,N/M,No,N/M,"Accuracy
Sensitivity
Specificity","accuracy, sensitivity, specificity",N/M,,N/M,"DBN (acc, spec, sens): 97.1, 0.99, 0.89
SAE (acc, spec, sens): 98.9, 0.94, 0.99","LDA + SAE
K*+Regularized Random Forest
K*
Neuro-fuzzy",Traditional pipeline,No,No,No,Next steps are implementing Denoising/Contrastive AEs.,N/M,No,N/A,No,,Hubert Banville,TBR,TBC,,Narejo2016
,Removal of EOG artifacts from EEG using a cascade of sparse autoencoder and recursive least squares adaptive filter,2016,"Yang, Duan & Zhang",Neurocomputing,No,Journal,Shanghai University,China,8,,Improvement of processing tools,Signal cleaning,Artifact handling,,Novel approach from removing EOG artifacts,Remove EOG from EEG data,Motor imagery,Auto-encoders have shown to be able to extract powerful features from other modalities,,N/M,None,BCI Competition IV,Public,"BCI Competition IVb: 9 subjects
not clear... Talking about 10000 points with 1000 points windows... 10 samples?
(4s windows)",N/M,N/M,9,3,250,,,1) Band-pass 0.5-100 Hz,Yes,No,No,None,Raw EEG,min-max,,Matlab 2013,Sparse AE,AE,N/A,N/A,Yes,1000,3,3,N/M,Sparsity penalty,Yes,,,1000,N/M,Train sparse AE on EOG data (offline) and then use EEG data as input ,Pre-training,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,Inter,No,No,"Train: 1 subject
Test: 9 subjects",Accuracy,accuracy,"Intel Core i3-4130
CPU3.4 GHz processor, 3 GB RAM",,N/M,SAE+adaptive filter outperformed ICA by 8% and ICA+adaptive filter by 5.8%,"ICA
ICA+adaptive filter",Traditional pipeline,No,No,No,"The proposed method performs better, is more efficient and need less to channels to work properly.",NM,No,N/A,No,,Isabela Albuquerque,TBR,TBC,,Yang2016a
,Recognition of Cognitive Task Load levels using single channel EEG and Stacked Denoising Autoencoder,2016,Yin & Zhang,Chinese control conference,No,Conference,University of Shanghai for Science and Technology,China,6,,Classification of EEG signals,Monitoring,Cognitive,Mental workload,Improve SOTA,Use DL (sdAE) on single channel EEG for workload classification (low/high),Automation-Enhanced Cabin Air Management System (aCAMS),Deep architectures appear to be fit for representing stable higher-level abstractions,,N/M,Raw EEG,Internal Recordings,Private,"8 subjects x 2 sessions x 100min
(used 2s windows)",48000,1600,8,11,500,,,"1) Band-pass 1.5 - 40 Hz
2) ICA for EOG Artifacts
3) 2s window
4) FFT for Freq Features",Yes,Yes,Yes,80 Power Features for each channel,Frequency-domain,N/M,,N/M,Stacked Denoising AE,AE,N/M,N/M,Yes,"80x1
(80 Freq Features)",5,5,Sigmoid,N/M,N/M,,,"2
(High/Low CTL)",N/M,(Greedy Search for structure),Pre-training,N/M,N/M,N/M,N/M,Grid Search,Yes,N/M,N/M,Intra,N/M,No,N/M,"Sensitivity, Specificity, Precision, Accuracy, Kappa, 
Negative Predictive Value","sensitivity, specificity, precision, accuracy, kappa, negative predictive value",N/M,,N/M,"Mean Accuracy: 0.7429 | Mean Kappa: 0.5418
Mean Sensitivity: 0.6104 | Mean Specificity: 0.8754
Mean Precision: 0.8236 | Mean NPV: 0.7070",None,None,No,No,No,NM,NM,No,N/A,No,,Yannick Roy,TBR,TBC,,Yin2016b
,Hand motion identification of grasp-and-lift task from electroencephalography recordings using recurrent neural networks,2016,An & Cho,IEEE International Conference on Big Data and Smart Computing,No,Conference,Seoul National University,South Korea,3,,Classification of EEG signals,BCI,Active,Grasp and lift,Improve SOTA,Use RNNs for BCI classification (Grasp-and-Lift task),Grasp-and-Lift BCI,"DL gave rise to an end-to-end framework, incorporating automatic feature extraction",,N/M,Raw EEG,WAY-EEG-GAL,Public,"12 subjects x 294 trials x (approx. 5s)
split in 6 phases (6 classes)
(used 512ms windows, overlapping 255/256)",21168,294,12,32,500,Offline,,1) Bandpass 1 - 30 Hz,Yes,No,No,None,Raw EEG,N/M,,N/M,"MUT
RNN from 
(Jozefowicz et al., 2015)",RNN,N/M,"For consistent and smooth predictions of phases during transitions, we used moving averages of predictions instead of using just the prediction for one point",Yes,32,"RNN: 2
FC: 1",2,N/M,Dropout,Yes,6,"Idle
Reach
Load and reach
Load and Hold
Load and retract
Retract","6
(softmax)",N/M,Standard optimization,Standard,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,Intra,Train-Valid-Test,Train-Valid-Test,"Train: 67%
Valid: 15%
Test: 18%",Accuracy,accuracy,N/M,,N/M,"LSTM  |  GRU  |  MUT1  |  MUT2  |  MUT3
87.98% | 88.6% | 86.54% | 88.21% | 88.82%","LSTM, GRU, MUT1, MUT2, MUT3",DL,No,No,No,"Dropout improved performance of RNNs by an average of 4 percentage point. Smoothing the predictions with moving average helped making consistent
predictions, eliminating abrupt and incongruous prediction errors.",N/M,No,N/A,No,,Yannick Roy,Hubert Banville,TBC,,An2016
,Decoding EEG and LFP signals using deep learning: heading TrueNorth,2016,"Nurse, Mashford, Yepes, Kiral-Kornek, Harrer & Freestone",ACM International Conference on Computing Frontiers,No,Conference,"University of Melbourne, IBM Research Australia",Australia,8,,Improvement of processing tools,Hardware optimization,Neuromorphic chips,,Improve SOTA,Performing decoding on a neuromorphic chip,"Self-paced hand squeeze task, left vs. right",Learns on its own a good description,,SynAmps2 (NeuroScan),None,Internal Recordings,Public,"1 subject x 30 min | 546 left + 563 right
(used 400ms windows)",1109,7.4,1,46,1000,,,"1) Bandpass 0.1-100 Hz
2) Notch filter @50 Hz
3) Downsample to 250 Hz",Yes,Yes?,No,None,Raw EEG,N/M,,Caffe,CNN,CNN,N/A,N/M,Yes,46 x 46,3,3,N/M,N/M,N/M,,,2,N/M,Standard optimization,Standard,Stochastic gradient descent,SGD,learning rate: 0.01,N/M,N/M,N/M,N/M,N/M,Intra,No,No,"Train: 87%
Test: 13%",Accuracy,accuracy,TrueNorth,,N/M,76%,"N/M
(previous paper on same dataset: 86%)",None,No,Visualization of learned filters,Analysis of weights,"Accuracy not as good as previous paper, but there was extensive hyperparams search in previous paper.
Need more data and training.",Not enough data,No,N/A,Yes,,Hubert Banville,TBR,TBC,,Nurse2016
,A novel deep learning approach for classification of EEG motor imagery signals,2016,Tabar & Halici,Journal of Neural Engineering,No,Journal,"Middle East Technical University, Ankara, Turkey",Turkey,11,,Classification of EEG signals,BCI,Active,Motor imagery,Improve SOTA,"Exploring CNN, SAE & Combined CNN-SAE on BCI-MI Datasets",Motor Imagery (BCI Competition datasets),"""deep learning methods are known to provide better classification performance by increasing the size of training data""",,N/M,Motor Imagery,"BCI Competition II - III;
BCI Competition IV - IIb",Public,"BCI Competition II - III: 280 trials x 1 subject
BCI Competition IV - IIb: 400 trials x 9 subjects
(2s windows --> 32 overlapping windows)","8960;
115200","9.33;
120","1;
9",3,"128;
250",,,"Short time Fourier transform (STFT)
Extracted: 6-13Hz and 17-30Hz",Yes,No,No,"Frequencies
6-13Hz & 17-30Hz",Frequency-domain,N/M,,"Matlab
Deep Learning Toolbox","1) CNN
2) SAE
3) CNN + SAE",CNN,"1D Filters
Max pooling","In our data, frequency, time and electrode 
location information are used together",Yes,"93x32
31 (freq) x 3 (channels) 
x 32 (time)","CNN: 1
SAE: 6
FC: 2",9,ReLU,N/M,N/M,,,2,N/M,"Each AE layer is trained separately in an unsupervised manner. After this pre-training step, supervised fine-tuning step is applied to the whole network",Pre-training,N/M,N/M,N/M,50,N/M,N/M,N/M,N/M,Intra,"10x10 Cross-Validation
(10-Fold CV on 10 Subjects)",k-fold,"Train: 90%
Test: 10%","Kappa
Accuracy","Cohen's kappa, accuracy",4.00 GHz Core i7 PC with 16 GB of RAM,,1157s,"[DS #1] CNN: 72.4 | SAE: 70.3 | CNN-SAE: 75.1  (Accuracy)
[DS #2] CNN: 89.3 | SAE: 60.0 | CNN-SAE 90.0  (Accuracy)
[DS #2] (Lemm et al., 2004): 89.3 | (Ren et al., 2014): 88.2 (Accuracy)
[DS #2] CNN: 0.786 | SAE: 0.20 | CNN-SAE 0.80  (Kappa)
[DS #2] (Lemm et al., 2004): 0.783 | (Ren et al., 2014): 0.764 (Kappa)","(Lemm et al., 2004) - Winner of Competition
(Ren et al., 2014) - DL
",DL & Trad.,No,Filters learned in CNN takes into account the activation in the neighboring regions.,Analysis of weights,"(1) We designed a new input form by using time, frequency and location information of EEG signals. (2) To our knowledge, our approach yields the best accuracy performance on BCI competition IV dataset 2b. The accuracy result of the CNN-SAE on dataset III is 90.0% that is higher than the winner algorithm. (3) The effect of filter size was investigated and Nh × 3 filter yielded the best perf. Also, the best value for epoch size was found as 300.",The result of our proposed system can be improved by using large datasets in such BCI system. We used only one convolution and one pooling layer. The performance may be increased if further convolution-pooling layers are used.,No,N/A,Yes,,Yannick Roy,TBR,TBC,,Tabar2016a
,Semi-automated Annotation of Signal Events in Clinical EEG Data,2016,"Yang, Lopex, Golmohammadi, Obeid & Picone",IEEE Signal Processing in Medicine and Biology Symposium,No,Conference,Temple University,USA,5,,Classification of EEG signals,Clinical,Epilepsy,Event annotation,New Approach,To developed a self-training approach to iteratively annotate a large EEG corpus,Epilepsy data (ongoing EEG),To explore semi-supervised learning methods such as self-training [3] and active learning [4].,,N/M,Seizures,TUH,Public,"TUH EEG  > 30,000 EEG from 16,000+ patients.
from 290 patients, which contained 3.1h (11,253s) of PLED, 1.7h (6,161s) of GPED, 10min (643s) of SPSW, 15h (53,726s) of BCKG, 3.1h (11,053s) of ARTF segments and 18min (1,070s) of EYEM
(1s windows)",83906,1398,290,-1,N/M,,,"See Harati et al., 2015 
(their previous paper)",N/M,"(Harati et al., 2015)",N/M,"See Harati et al., 2015 
(their previous paper)",N/M,N/M,,N/M,"See Harati et al., 2015 
(their previous paper)",N/M,"See Harati et al., 2015 
(their previous paper)","See Harati et al., 2015 
(their previous paper)",Yes,"See Harati et al., 2015 
(their previous paper)","See Harati et al., 2015 
(their previous paper)",N/M,N/M,"See Harati et al., 2015 
(their previous paper)",N/M,6,"Spike and/or sharp waves
Periodic lateralized epileptiform discharges
Generalized periodic epileptiform discharges
Artifacts
Eye movements
Background","See Harati et al., 2015 
(their previous paper)","See Harati et al., 2015 
(their previous paper)","The whole paper is kinda about ""training"" in the sense that they are training/retraining on the data until they get high level of confidence.",Pre-training,"See Harati et al., 2015 
(their previous paper)",N/M,N/M,N/M,N/M,N/M,"Yes, the whole paper is kinda about data augmentation in the sense that they are training/retraining on the data until they get high level of confidence.",N/M,Inter,N/M,No,N/M,Sensitivity,sensitivity,N/M,,N/M,"GPED: 52.8% ->  56.5%
PLED: 54.2%  60.4%
SPSW: 41.6%  49.6%
EYEM: 81.8% -> 82.1%
BCKG: 72.1% -> 71.2%
ARTF: 41.2% -> 39.1%","Before and After
(no benchmark)",None,No,No,No,"The proposed method is based on a limited amount of manually annotated data and updates the training models by iteratively re-training and re-decoding. This pilot study shows after a few iterations we are able to not only label more EEG signals (about 30,000 new SPSW labels) but also improve recognition accuracy about 2%.",Number of label samples,No,N/A,No,,Yannick Roy,TBR,TBC,,Yang2016b
,Learning representations from EEG with deep recurrent-convolutional neural networks,2016,"Bashivan, Rish, Yeason & Codella",International Conference on Learning Representations 2016,Yes,Conference,University of Memphis,USA,15,,Improvement of processing tools,Feature learning,,,Finding robust (inter-subject) representations from EEG data,Map EEG time-series to images and use CNNs as they work well for image classification ,Mental load (working memory) levels,CNNs presented good results for image classification,,N/M,None,Internal Recordings,Private,"2670 Trials x 3.5s
From 13 subjects
(used 3.5s windows)",2670,155.75,13,64,500,,,"Mapping of EEG time series to images (spectral topography maps).
1) Calculate PSD on theta, alpha, beta
2) Project electrodes 3D position to a 2D mesh
3) Using each frequency band as a color channel, plot PSD as color intensity",Yes,N/M,N/M,EEG spectral topography maps ,Frequency-domain,N/M,,Theano+Lasagne,"Single frame: CNN with different kernel sizes 
Multi-frame: A,B) CNN
 C,D) CNN+LSTM",CNN,"A) Max-pooling across time frames
B) Temporal convolution (1D conv in time)
C) LSTM 
D) Temporal convolution + LSTM",,Yes,"Single-frame: 32 x 32 x 3
Multi-frame: #frames x 32 x 32 x 3","Conv: 7
LSTM: 2
FC: 1",10,Sigmoid*,"50% dropout on FC layers
Early stopping",Yes,,,4,10k - 1.62 million,Standard,Standard,Adam,Adam,"lr=0.001
Beta1 = 0.9
Beta2 = 0.999",20,N/M,N/M,"Randomly adding noise to feature image input
Did not improve results",Categorical cross-entropy,Inter,Leave-One-Subject-Out,Leave-One-Subject-Out,"Train: ~11 subjects
Valid: ~1 subject
Test: 1 subject
* For Validation, same amount of test trials coming from different subjects was used",Test error,test error,N/M,,N/M,"Single-frame: best model (D) improved 0.8% w.r.t. best baseline (DBN)
Multi-frames: best model (D) improved ~6% w.r.t. best baseline (DBN)","SVM, Random Forest, Logisitic regression, Deep belief network",DL & Trad.,No,Visualization of feature maps and back projections,Generating input to maximize activation,"""When trained on a pool of data containing multiple individuals, the network extracts features that are maximally informative considering the variability in the training set.""",,Yes,GitHub,Yes,,Isabela Albuquerque,TBR,TBC,,Bashivan2016a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investigating Critical Frequency Bands and Channels for EEG-Based Emotion Recognition with Deep Neural Networks,2015,Zheng & Lu,IEEE Transactions on Autonomous Mental Development,No,Journal,Shanghai Jiao Tong University,China,14,,Classification of EEG signals,Monitoring,Affective,Emotion,New approach,"Using DBN to classify emotions (Positive / Neutral / Negative)
And exploring the relevant frequencies and channels",Watching Movies (emotions),Semi-Supervised DBN can learn from unlabeled data,,(NeuroScan),Differential Entropy from multichannel EEG,SEED,Public,"15 subjects x 15 movies x 4min x 2 experiments
~3300 clean 1s epochs / experiment / subject
(using 1s windows, no overlap)",99000,1650,15,62,1000,Offline,,"1) Downsampled to 200Hz
2) VI: EMG (too much) contamined channels removed
3) Band-Pass filter: 0.3-50Hz
4) Epoching (lenght of a movie)",Yes,Yes,Yes,"Differential Entropy (DE)
DASM, RASM",Other,N/M,,MATLAB,BDN,DBN,N/M,To leverage unlabeled data with unsupervised learning,No,"not clear
(the features)",2,2,Sigmoid,N/M,N/M,3,"Positive
Neutral
Negative",3,N/M,"1) unsupervised pretraining of each layer; (greedy layer-wise)
2) unsupervised fine-tuning of all layers with backpropagation; 
3) supervised fine-tuning of all layers with backpropagation",Pre-training,N/M,N/M,"Momentum: 0.1
LR (Unsup): 0.5
LR (Sup): 0.6",201,search optimal number of neurons at the first and second layer in the ranges [200:500] and [150:500] with step of 50,Yes,N/M,N/M,Intra,No,No,"Train: 9 sessions
Test: 6 sessions",Accuracy,accuracy,N/M,,N/M,"Mean Accuracy: 86.08%

Lots of results reported (for each feature categories)
(see paper for full details)","Mean Accuracy

KNN: 72.60%
LR: 82.70%
SVM: 83.99%",Traditional pipeline,No,"Frequencies and Electrodes 
contributing",Analysis of weights,"(1) Given that DBNs can also learn models in an unsupervised way, the large amounts of unlabeled EEG data may also be conductive to the semi-supervised DBN training paradigm and allow it to learn more sophisticated models than other traditional supervised learners. (2) There is still a lack of publicly available emotional EEG datasets. (3) In our studies, we propose a novel critical channels and frequency bands selection method through the weight distributions learned by deep belief networks.",Emotion Classes is limited to 3 in the study,No,N/A,Yes,,Yannick Roy,TBR,TBC,,Zheng2015
,Deep feature learning for EEG recordings,2015,"Stober, Sternin, Owen & Grahn",Arxiv,Yes,Preprint,University of Western Ontario,Canada,24,,Improvement of processing tools,Feature learning,,,Improve SOTA,Automatic feature learning using autoencoders,Music listening or imagery,Use of deep learning achieved good results in other domains ,,ActiveTwo (BioSemi),None,OpenMIIR dataset,Public,"OpenMIIR: 9 subjects x 12 stimuli x 10.4s [7-16s] x 5
",540,93.6,10,66,512,Offline,,"1) Removed and interpolated bad EEG channels
2) Bandpass: 0.5-30 Hz",Yes,Yes,Yes,Raw EEG,Raw EEG,"[-1,1] 
0 mean",,Theano+Pylearn,Autoencoders,AE,N/M,N/M,No,N/M,N/M,N/M,Sigmoid,"Dropout, L1",Yes,12,12 music styles (see Table 2),12,N/M,Standard,Standard,SGD,SGD,N/M,128,Bayesian optimization,Yes,N/M,Hinge loss,Inter,Leave-One-Session-Out,Leave-One-Session-Out,"Train: 8 subjects
Valid: 1 subject
Test: 1 session 
(test is across all subjects)",Accuracy,accuracy,N/M,,N/M,"SVM: 14.8%, CNN: 18.5%, 26.9%
SVM: 14.8%, CNN: 18.5%, 19.4% 
SVM: 17.6%, CNN: 17.6%, 18.5% 
SVM: 19.4%, CNN: 20.4%, 20.4%
SVM: 16.7%, CNN: 20.4%, 19.4%
SVM: 23.1%, CNN: 23.1%, 22.2%
SVM 20.4%, CNN: 22.2%, 22.2%
SVM: 20.4%, CNN: 25.0%, 27.8%
SVM: 24.1%, CNN: 20.4%, 18.5%
SVM: 22.2%, CNN: 22.2%, 23.1%
SVM: 23.1%, CNN: 27.8%, 26.9%",SVM,Traditional pipeline,"Significance values were determined by using the cumulative binomial distribution to estimate the likelihood of observing
a given classification rate by chance",Visualization of learned convolutional filters,Analysis of weights,"CNNs outperformed or were equally good as SVM for 10/11 cases. 
""Learned features are
also still simple enough to allow interpretation by domain experts such as cognitive neuroscientists."" ",N/M,Yes,GitHub,No,,Isabela Albuquerque,TBR,TBC,,Stober2015
,Convolutional neural network for multi-category rapid serial visual presentation BCI,2015,Manor & Geva,Frontiers in Computational Neuroscience,No,Journal,Ben-Gurion University,Israel,12,,Classification of EEG signals,BCI,Reactive,RSVP,New approach,New spatio-temporal regularization for CNN on RSVP (or P300) BCI,RSVP (5 classes of images),Deep neural networks have shown state of the art performance in computer vision and speech recognition and thus have great promise for other learning tasks.,,ActiveTwo (BioSemi),ERPs (P300),"Internal Recordings;
BCI Competition III - IIb",Private,"Internal Recordings: 12 subjects x 4 blocks x 6525 images x 100ms
(using 1s windows)",313200,522,12,64,256,Offline,,"1) High-Pass filter: 0.1Hz
2) 1s window around image stimuli (100ms before)
3) Blinks removed based on VEOG",Yes,Yes,Yes,Raw EEG,Raw EEG,z-score,,Caffe,"CNN
+ Spatio-Temporal Regularization",CNN,"Spatio-Temporal Regularization
The penalty term regularizes the spatial filters such that the filters activations will be smooth. Penalizes the higher frequencies and fast changes.","The first convolutional layer performs a spatial convolution by using filters of size 64×1, learning features which represent a spatial distribution across the scalp. The second conv layer captures the temporal information.",Yes,"64x64
(electrodes by 
time samples)","CNN: 3
FC: 2",5,ReLU,"Dropout
Spatio-Temporal 
(their own regul)",Yes,2,"Target
Non Target","2
(softmax)",N/M,N/M,N/M,SGD,SGD,"LR: 0.001
Momentum: 0.9",No,Empirically,Yes,Bootstrapped the minority class to balance classes,Multinomial Logistic Regression,Intra,10 Random Permutations,Train-Valid-Test,"Train: 80%
Test: 20%","Accuracy (balanced)
ROC AUC
Correct, Hits, False Alarms","balanced accuracy, ROC AUC, sensitivity, false positive rate",NVidia GTX 650,,N/M,"(Mean) Balanced Accuracy: 70±4.86
(Mean) AUC: 0.77±0.05
(Mean) Correct: 75±4.4 || Hits: 64.4±5.47 || False Alarms: 23.7±4.36",SWFP algorithm,Traditional pipeline,No,Visualization of weights and activations,"Analysis of weights, Analysis of activations","We showed that DNN models are an effective tool for single trial P300 classification. Even for a difficult RSVP task with five categories, we achieve impressive classification performance that surpasses our earlier work. The NN model is regularized with a novel spatio-temporal regularizer, which encourages the network to learn smooth features and thus reduces overfitting to noisy samples.",N/M,No,N/A,Yes,,Yannick Roy,TBR,TBC,,Manor2015
